\\Mac\Home\Desktop\IMG\center_2024_01_12_23_56_06_974.jpg,\\Mac\Home\Desktop\IMG\left_2024_01_12_23_56_06_974.jpg,\\Mac\Home\Desktop\IMG\right_2024_01_12_23_56_06_974.jpg,0,0,0,1.463724E-05
\\Mac\Home\Desktop\IMG\center_2024_01_12_23_56_07_043.jpg,\\Mac\Home\Desktop\IMG\left_2024_01_12_23_56_07_043.jpg,\\Mac\Home\Desktop\IMG\right_2024_01_12_23_56_07_043.jpg,0,0,0,2.045155E-06
\\Mac\Home\Desktop\IMG\center_2024_01_12_23_56_07_113.jpg,\\Mac\Home\Desktop\IMG\left_2024_01_12_23_56_07_113.jpg,\\Mac\Home\Desktop\IMG\right_2024_01_12_23_56_07_113.jpg,0,0,0,4.006702E-06
\\Mac\Home\Desktop\IMG\center_2024_01_12_23_56_07_195.jpg,\\Mac\Home\Desktop\IMG\left_2024_01_12_23_56_07_195.jpg,\\Mac\Home\Desktop\IMG\right_2024_01_12_23_56_07_195.jpg,0,0,0,3.474659E-06
\\Mac\Home\Desktop\IMG\center_2024_01_12_23_56_07_267.jpg,\\Mac\Home\Desktop\IMG\left_2024_01_12_23_56_07_267.jpg,\\Mac\Home\Desktop\IMG\right_2024_01_12_23_56_07_267.jpg,0,0,0,1.551544E-05
\\Mac\Home\Desktop\IMG\center_2024_01_12_23_56_07_340.jpg,\\Mac\Home\Desktop\IMG\left_2024_01_12_23_56_07_340.jpg,\\Mac\Home\Desktop\IMG\right_2024_01_12_23_56_07_340.jpg,0,0,0,1.500261E-05
\\Mac\Home\Desktop\IMG\center_2024_01_12_23_56_07_413.jpg,\\Mac\Home\Desktop\IMG\left_2024_01_12_23_56_07_413.jpg,\\Mac\Home\Desktop\IMG\right_2024_01_12_23_56_07_413.jpg,0,0,0,1.493195E-05
\\Mac\Home\Desktop\IMG\center_2024_01_12_23_56_07_484.jpg,\\Mac\Home\Desktop\IMG\left_2024_01_12_23_56_07_484.jpg,\\Mac\Home\Desktop\IMG\right_2024_01_12_23_56_07_484.jpg,0,0,0,2.135915E-05
\\Mac\Home\Desktop\IMG\center_2024_01_12_23_56_07_560.jpg,\\Mac\Home\Desktop\IMG\left_2024_01_12_23_56_07_560.jpg,\\Mac\Home\Desktop\IMG\right_2024_01_12_23_56_07_560.jpg,0,0,0,2.075656E-06
\\Mac\Home\Desktop\IMG\center_2024_01_12_23_56_07_631.jpg,\\Mac\Home\Desktop\IMG\left_2024_01_12_23_56_07_631.jpg,\\Mac\Home\Desktop\IMG\right_2024_01_12_23_56_07_631.jpg,0,0,0,5.290505E-06
